date	review	rating	userName	title
2020-06-04 03:15:14	Love this podcast! I listen to some episodes more than once. Fun and informative!	5	MsIntrepid	Great podcast!
2020-04-27 03:27:16	"First of all thank you for making a podcast not only entertaining but also informative. I discovered your podcast a few months ago, and wow was I ever clueless before. 

Before listening to your podcast I always believed that sex was just sex, in and out, and bada bing bada boom done. I always felt so unsatisfied since I didn’t get the same pleasure feeling as my partner, or so I thought, and I always felt like it was either my fault or I was supposed to feel that way. 

Needless to say, you two beautiful and inspirational women opened my eyes to what women should really feel with their bodies. It isn’t just about the in and out, it’s about everything in between. I’ve learned so much from you two and about how to explore my sexual self, and how to get my partner to now explore with me. I’ve officially bought my first vibrator (at 27 I may add), learned new things to do in the bedroom to spice things up, and finally started having orgasms and feeling that amazingness that I should of felt years ago! If it wasn’t for you two, I may have never learned any of this, so thank you so much! 

Please continue what you are doing because I can only imagine how many other women and men may be going threw the same thing. You opened my eyes, so THANK YOU!

If I can only make one little suggestion on ideas you can talk about in future episodes, I miss when you two would talk about your lives or in general. It would be really nice to have an episode of two with no guests and just you two. Ohh! And also more bedroom ideas would be fantastic! I wanna spice things up! 

Again, thank you so much. Please don’t stop!"	5	Beamesie	Thank you!!!!!
2020-03-12 20:35:53	"Hi Amy and April!

First of all, thank you for this awesome project, you’re an amazing tandem of knowledge and empowerment!

This podcast gave me opportunity to identify my personal shortcomings and motivated to work on myself and my relationships. I have listened to all episodes, took me about 6 month, and i can clearly see how much it normalized talking about sex related topics, gave me words and ways to express myself and put me on the path of discovering my own sexuality. I am very grateful for this amazing experience that broaden my horizons, helped in fighting shame, stigma and judgement and generally made me a better person!

I have only one question / request: you’re constantly talking about co-erotic themes and it’s very important and fascinating topic, but i feel like i cannot find any information about it. I listened to episode #2 three times, but definitely need more information and guidance in this area. Maybe you can give some literature suggestions or sources that I can go to for this information, or maybe even make another episode about it? 😉

Thank you again for leading this sex revolution, i’m trying to spread the word about this so much needed content! 😘"	5	Tana Sparklegem	It’s much more than sex!
2020-03-11 02:06:00	This podcast came into my life at a time when I was just starting out on what has been a wild and exciting exploration of my sexuality. The information available in this podcast has opened some big doors for me and is sex positive and accessible, no matter what you’re into. And the guest are amazing!! Do yourself a favour and give it a listen 😘	5	Jem2244	So good!
2020-03-09 22:49:44	"These ladies are entertaining, educated, and hilarious!!
Thank you for normalizing talking about sex and what a healthy relationship with sex can look like. It has helped me tremendously with my own sex life and in my romantic relationships."	5	EdnaMoan	Thank you!!
2020-02-13 21:02:34	Really loving hearing how comfortable and confident you are talking about everything...my wife and I are hooked!  Keep it up!	5	JeffWollenzien	Love you ladies!
2020-02-07 20:53:29	Love these ladies!!	5	1t$M3	Hilarious and Informative
2020-01-28 02:32:15	I just started listening to podcasts in the last two months. But this one has been very interesting. Keep it up.	5	B0n3s81	Great show
2020-01-15 20:39:44	I am having so much fun since discovering this podcast. I am enjoying learning and exploring new ideas and ‘resources’ and also hearing that I am normal and it is totally ok to have fantasies and needs. Thank you ladies.	5	Kabloonak	Thank you for making fun normal!
2019-11-25 00:19:25	Simply the best podcast out there. Shameless Sex Podcast has improved all aspects of my life, not just my sex life. Love, love, love. I support them on Patreon, you should too. -  Jake from Canada	5	______Jake_____	Love love love
2019-10-12 20:28:24	Love these ladies! I found them about a year   ago and have learned so much from them. I feel like we’re all just hanging out, talking, when I listen to April and Amy. Never missed an episode…Best podcast ever!	5	SmartieMartie4	Best Podcast Ever!
2019-08-13 18:10:24	This podcast is great. It’s fun, It’s educational and it’s about sex, what more could you want.	5	4everkittykat	Amazing podcast
2019-06-21 17:46:53	This podcast has totally changed the way I communicate with my partner, as well as with all of the other people in my life!  It’s broadened my understanding of sex and relationships SO much. Highly recommend this podcast!	5	alishagreene	Changed My Life
2019-08-07 17:04:58	I feel like all they did was advertise for companies really lost the personal aspect I was hoping for.	2	Jaylistens23	One big product placement
2019-05-10 17:55:24	This is one of the most informative podcasts I've listened to. Great listen! :)	5	Evinkuraga	Great tips! Great podcast!!
2019-03-02 23:48:20	"Girls, I've been binge listening to your podcast and going crazy about what you do! There is not a single episode that I did not like or learned! You are hilarious and interesting! 

FYI, uberlub is the S**T! I 've been recommend it to ALL my friend and I had some date that got crazy about it after trying it for the first time! 

You do a wonderful work at promoting fun and healty sex! If I where a teacher i'd just pressed play on your podcast in sex ed classes! ;)"	5	Jack_the...!	You ladys are AWEsome!
2019-02-09 20:48:26	"Ladies!!! I LOVE your podcast. Handsdown, the best (and pretty much only) podcast I listen to. Your direct style and open communication, and hilarious little bits sprinkled all around, really make the podcast so much fun to listen to. Besides learning SO MUCH, and thinking about all sorts of things I wouldn't have before, your delivery is really perfect. I simultaenously feel like I'm sitting in on a super interesting class/ my bestfriends and I are chatting. I introduced the podcast to my partner and he loves it too! He always suggests we listen to ""the girls"" and it always brings up great topics for us to discuss to get deeper into our relationship. You have truly changed so much of what I think about in sexuality, relationships and communication and how I bring that into my life. Thank you so so much. Sending lots of love and wine love toooo!"	5	Lucia.C.	so much love!!!
2019-01-10 15:31:16	"Love your podcast! Listen to you guys in the morning, on my way to work (starting the day laughing and positive vibes). 
Keep up the good work! 

Bonne journée xx

Eve

Montreal, Canada"	5	3ve_rosales	Hilarious, informative and fun
2018-08-04 13:43:54	First heard Amy on Tangentially Speaking, these ladies are hilarious and deliver great value and content. I never miss a week, always puts a smile on my face	5	MikeRoseOntario	Hilarious
2018-05-12 20:43:57	A friend recommended this to me knowing I’m a huge sex geek. I’d always felt really sexually empowered, but listening to this podcast has given me even better tools to communicate what I want, and how I want it. My sex-life and relationships in all aspects of my life have benefitted. I tell everyone about this podcast! Love it! Thanks for all the amazing information, tips, and helping to keep sex shameless 😘	5	misspip2014	Sex-Life Changing
2018-04-10 15:52:48	"Discovered these Goddesses through Connor Moore’s The Realness podcast - and IMMEDIATELY subscribed to theirs!
First, their sense of humour makes it super easy to keep listening. But the topics they cover are so damn relevant for today! Their insight is amazing & I cannot wait to apply the learning into my own life!!! Goddesses please don’t stop!!!! Or I’ll come stalk you in person so I can keep learning!! 🤣😉"	5	Melanie Frome	Shamelessly Real!!!
2017-08-24 22:56:23	Found out about these ladies a few days ago and listened to every podcast over 2 days and I can't wait to hear more. I feel better equipped with communication skills and a better understanding about why I may have some thoughts and tendencies about my sexual experiences. If your a curious mind interested in creating a shame free mindset I highly recommended you give them a listen.	5	rayeladelle	Amazing podcasts!
2019-05-21 08:11:51	My fourth episode so fare, and I enjoy it and keep learning something new.	5	Mr.mermelman	Stick to the story and eat me
2018-05-03 06:23:16	"I am 15 years old. I’ve had ”a lot” of bad sex, and i have felt suuuuper insecure about my sexuality because i am only 15 and a super sexual person. After having an eating disorder my sexuality really got messed up. I didn’t feel like having sex anymore or masturbating and i have masturbated since the age 5. But after founding your podcast i was able to dive into my sexuality again. 

I love you and you are amazing. These girls are so fun and they make awesome episodes with a lot of easy information. I really love their podcast because it is not only about sex. It also has a lot of stuff about self love, nonviolent communication and a lot more. That is why i think enyone can listen to this podcast and get some super good information from it.  I really recommend this podcast to you all! No matter are you 15 or 65. If you want to learn about pleasure and self love just listen and enjoy! So much fun! I love you girls!!!

Btw. I am from Finland and i’m still learning english. The text probably has some mistakes in it. I hope you can read it."	3	Alma from Finland	You are amazing.
2021-01-14 19:35:14	"Just started listening to your podcast. Popped up in my spotify feed after listening a lot to Kim Anami and Shashi Solluna. Already went through 5 episodes today and I
absolutely love it. The rawness and authenticity you all bring is what we need in the world right now 🙏🏻 Had already educated myself on a lot of topics you talk about but the way you two go through them is unique and I love it. Made me laugh quite a few times. Keep up the good work! Cheers from France! Ciarán"	5	Ciaran_H	Absolutely brilliant
2019-04-24 08:19:28	Love love love this podcast!! I think everyone on earth should listen to it and get educated! Every topic is so interesting. This podcast really helps you lose the shame and upgrade your sex and pleasure game as well as redefine your relationship with your body! Thank you ladies!	5	nataliad.photography	Life changing
2022-03-10 18:34:16	Hello you two I'm from Germany and I'm 25 years old and listen to your podcast for a week and find it very good that you talk about topics that are taboo topics for most people. Keep up the good work!	5	P.melli	Hello from Germany
2019-09-03 10:53:08	Thanks so much for entertaining & enlightening me and the all the other listeners. I love the range of content from anal techniques to spiritual empowerment - all while keeping it fun. keep on going! Much love from Germany	5	LouWer27494	Sexy & fun help ;-)
2023-06-28 13:18:12	Love this podcast. The way they laugh and joke leaves me giggling, reminds me of the chats I have with my friends. Also, a deep honesty and humbleness in the dialogue. Really informative too, no topic off limits. Love it!	5	SarahStef	Great tips and makes me laugh
2023-05-30 18:47:56	"Love these ladies and the wonderful and varied guests they have. Making me more informed and aware of how to be proud and Shameless. 

Look forward to each Tuesday. 
Love from the U.K."	5	JohnWirral	Informative. Entertaining. Sexy
2021-04-07 17:12:57	Love love love this podcast and the topics covered. I am a middle aged newly divorced woman who is looking to get her groove back and loving every minute - Thank you xxx	5	ladyinthewoods12	Love these gals
2020-04-02 16:06:55	Thank you ladies. Your podcast is the ultimate girlfriend get together. I love the subjects you discuss I don’t feel abnormal anymore!	5	Mainvampire	Liberation is here
2019-12-20 22:43:17	"Hi Girls,
You are truly awesome! I’ve learnt so so much from you guys.  Plus I love the way you bounce off one another.  I don’t think there has been a single episode that hasn’t brought a smile to my face.  So please keep up the great work!
GJ xx"	5	[GJ]	Learnt So So Much
2019-11-26 15:44:28	Thanks for the really open, honest and educational content and for making me giggle in public a lot.	5	Shannygoose	So much to learn!
2019-08-07 12:19:28	Great to spice up yoursex life	5	Scillymel	Great podcast
2018-12-29 23:35:52	These two human beings are all of the words in the title and so many more you’d need a thesaurus to fully describe them! Regardless of gender or sexuality, their podcast topics are interesting, original and told with such warmth and openness, listening to this is bound to help anybody improve their confidence, both sexually and in everyday life too. As a young woman still attempting to find her confidence, listening to this every week really has does done wonders for my personal development and I have these two wonderful women and their awesome guests to thank. Much love from Glasgow! As we say in Scotland - “yous are pure quality!”	5	GlasgowA	Funny, Touching, Uplifting, Inspiring
2019-02-17 05:14:54	Thank you for this great resource which is helping my wife and I greatly. I would appreciate it if you would ease up a bit on the Margins wine recommendations, these are so long that I usually know I can skip a couple minutes forward without missing anything. I’m not from the US and this is not relevant to me.	5	Ariman88	Thank you Amy and April
2020-03-10 03:05:15	Great info! Great hosts!!! Love it!	5	Jakotorres	Love it!!!
2022-11-22 22:09:21	Who knew how much you can learn while walking the dogs…! I started at episode 1 about 2 years ago and today am up to 273….  Geez, what a ride this has been. Have only missed a few out however have re-listened to a couple already. All strength to you April and Amy. Love it..!  (A 77 year old penis wielder….)	5	Huddysan	Unashamedly great……
2020-03-11 07:11:32	I listen from here in New Zealand and flippin love you guys! I really appreciate you shedding the light on the topics that are so commonly shamed. Thank you for your realness, honesty and knowledge. I learn, I laugh and I grow listening to this Podcast. Thank you! Love your work. Keep it up!	5	H Kiwi	Great Podcast!
2019-02-01 07:29:04	"I love this podcast, I love these girls and I love all the thangs that I’ve learnt from them. Funny, down to earth and totally honest, this podcast will teach how to go slower then slow and care for not only your partner but yourself. Give them a listen! You will love them and everything they stand for.
 
Ciao meow.
Alana x"	5	Alana in NZ	These girls are AMAZING
2018-11-07 13:32:02	"Big love to Amy and April from New Zealand, you girls rock, I can’t get enough of your podcast, such amazing beautiful woman you are, I love everything about you girls, I love how positive you are to everything I rate you and your podcast 100 and 10+ percent you keep it so interesting I can’t get enough
Big love to you both 
Keep up the amazing work you do 
Xx"	5	Paris Rose NZ	Loving the podcast
2019-03-27 19:11:38	"This podcast is truly amazing. These ladies combine real knowledge with experience and spirituality, which I just love! One of the first podcasts I ever listened to and I can’t believe how much I’ve learned about my self and loving communication through Amy and April. Can’t wait to grow even more in my sexuality as I follow this journey (and hopefully become truly shameless myself)!
Ps. listening in from Norway 🇳🇴"	5	Ms. S95	Amazing stuff!
2020-07-27 23:24:53	I found you randomly, and I thank fortune and destiny to have found you. I love both of you. Your personalities are awesome!!!! You are humble yet knowledgeable and funny. I love that you are very open minded and sweet too. I wish you the best and I will keep listening to you ladies !	5	meli053086	I love this podcast
2021-08-10 06:59:20	I just wanted to take a moment and say thank you for creating such an impactful podcast! I believe that we all have a voice that deserves to be heard. Thank you for putting this into the world! BE UNBROKEN! @MichaelUnbroken	5	Michael Unbroken	A Must Listen!
2023-09-28 16:31:17	I encourage all men to listen to you two human loving women to Learn deeply about being a better loving person including yourselves	5	pedromldo	Shameless and unafraid
2021-09-28 14:51:46	Absolutely love the show listen to it all the time but haven’t been able to find new episodes, last episode I can find is from the 18th of august. Really love the content and wanting more.	5	jim-94	Episodes
2017-12-12 07:02:00	Awesome ladies sharing from their own life and their careers. Knowledgeable, fun, and totally free of awkwardness or trying to chock.	5	HannaGurka	Sensible and actually useful
2021-06-09 16:55:33	Such a great and informative podcast. Loving all the topics ❤️	5	hunni22	So wonderful!!!
2023-11-26 03:08:47	Your step bro is so weird did he lick your private part	4	comcerned parent	Weird kid
2023-11-21 03:05:29	OMG I was listening to this podcast when my stepbro came in and was naked. He ripped off my clothes and started sucking on my nipples and licking my meow 😍 he shoved his snake into Kitty and made me cream so hard. Then my mom came in and we were all licking each other and white stuff was my meal for that night.	5	AwesomeWOMEN4LIFE	Sexyyyyyy
2023-11-13 12:56:00	"Amy and April,
thank you!!!!!!
Your podcast has changed our lives! My husband and I (hetero-monogamous) will be celebrating 13 years of marriage this New Year’s Eve. We have a wonderful relationship but our sex life was so-so…until I heard about and listened to my first Shameless Sex podcast episode. Oh my! I was very shy about asking for what I wanted and so was my husband (this was one area of our marriage where we didn’t communicate well) I suggested we listen to a Shameless Sex podcast throughout our day and talk about it before bed. I am happy to repost that we now enjoy an enlightened, orgasmic, hot, explosive sex life🔥🔥. Thank you for taking the shame out of sex and making our marriage one to envy😏"	5	SusieC4	“O” my! Thank you!!
2023-11-02 19:35:04	I’m in a long term relationship. This episode has great info for improving and exploring new things in my relationship. Thank you for the great info. Keep adding great info!	5	TMGIII	Episode 348
2023-10-31 15:49:27	The information is accurate and is presented in an entertaining, relatable, format. You would also enjoy their Instagram video offerings as well. I’m a 75 year old penis owner, still horny, and have learned so much. Thank you to both April and Amy. (It doesn’t hurt that they are beautiful and humorous!) I give them 6 stars, I couldn’t have said it better myself….oh! I did. Much love	5	1147pauley	Best pod cast on the subject matter
2023-10-25 15:38:08	This podcast is educational and entertaining. As an intimacy professional I get so much out of expanding my knowledge here. I am forever grateful to you two. 🫶	5	goldenmoeras	Incredible
2023-09-21 15:12:15	Alicia and Erwan are great. I'm in a long-term relationship and this discussion was well-timed. By definition, I am in a sexless marriage. I love my wife, but intimacy has suffered. Discussions like this are valuable and provide some direction, the rest is up to me (us)	5	EddieOakland	Episode #347 Say Bye to Sexless Marriage
2023-08-27 21:20:48	I am a new listener and I have to say I absolutely love these ladies and various guests that they have on the show! When I tell you, since I have been listening to various episodes, it has improved my sexual performance, encouraged me to be more open with my sexual appetite, and boosted my sex confidence.	5	Sex Siren	Hello sex siren
2023-08-18 10:03:50	"Always enjoy the content and enthusiasm  you all bring to the podcast!  Just , wanted to say Thank you 🙏.  Juxta will arrive shortly

 Minneapolis, Minnesota"	5	Ooii2/456()7	Kenneth Play
2023-08-17 16:45:22	As a man it’s so tough to talk to most guys about sex, sadly it’s normal. My wife and I have been on an absolutely insane journey this year and this podcast has been a huge wealth of knowledge and insight that’s helped us get over our ultra fundamental upbringing. Our conversations and communication was great before and now it’s on a whole new level and we can’t stop talking to one another about sex. It’s now hard to not talk to our friends about what we’re learning. One day we hope to do coaching ourselves but not sure where to start there either.	5	Joshua31pitcher	Thank you!!
2023-08-10 17:43:25	So funny, so informative- all around great show!	5	Jojo555877654	Awesome duo
2023-08-10 19:58:40	NOOOOOOOOOOO	1	Everett W Keller	Ahhhhhhhhhh
2023-08-07 17:56:15	Love these ladies! I’m of the older generation and still love your podcasts. The speakers that you choose have been very helpful! I have been married to the same wonderful man for just about 35 years. Without giving away too much information, we are still very sexually active and I have learned quite a bit from you and your speakers.  We are trying to up our game and you have helped. 😊	5	Refinedanspach	💕
2023-08-06 18:47:40	I look forward to this Podcast every week. I have learned a ton from it even if the topic is nothing that I’m ever likely to use in my own life. I’m a guy, and while I’ve been married for over 40 years women are still a bit of a mystery to me. This show has helped me to understand so many things about sex from a woman’s perspective just a little bit better.	5	Pinwormdelight	Very, very good
2023-08-04 14:50:30	April and Amy Rock!  Love this podcast.  Worth the time!	5	miamirocker	Great Vibe
2023-07-29 14:47:48	"April and Amy are pretty cool! They will make you laugh, and educate you at the same time.
The ladies have great chemistry together.
Very interesting people to interview.
I love their accents.
Cee
U
Next 
Tuesday!!!!       Todd"	5	Todd the Electrician.	I listen every week!!!!!
2023-08-01 17:43:53	You have a great show with great guests, but April seems to always make the show about her. It would be great if she learn to listen. After a while it’s hard to listen too.	2	Carhoro12	Learning to listen
2023-07-18 22:37:54	I absolutely LOVE this podcast! I listened to it during my entire drive from Washington to California. The girls fabulous.	5	Asturg23	LOVE!
